

 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:   256
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03

   iteration           ||r||                 zeta
        1       0.56572481564243E-12   499.9996989885352
        2       0.38069929468365E-15    49.1792921222637
        3       0.39494922617286E-15    49.7621417780892
        4       0.40867740715689E-15    50.2476108448560
        5       0.41965526541426E-15    50.6504113318691
        6       0.42929232486387E-15    50.9835679329933
        7       0.43716273891953E-15    51.2584179093533
        8       0.44450743726399E-15    51.4846993919580
        9       0.44882544032461E-15    51.6706894462898
       10       0.45392479274866E-15    51.8233647190057
       11       0.45672203114164E-15    51.9485666805622
       12       0.45996589074313E-15    52.0511603649682
       13       0.46185849115581E-15    52.1351803974362
       14       0.46325768822730E-15    52.2039614064547
       15       0.46491899194276E-15    52.2602520412788
       16       0.46590735543160E-15    52.3063130997490
       17       0.46625487770807E-15    52.3440009815621
       18       0.46710798410999E-15    52.3748380152845
       19       0.46743191520138E-15    52.4000713044049
       20       0.46867299405236E-15    52.4207216938457
       21       0.46880453502312E-15    52.4376243380823
       22       0.46923312758580E-15    52.4514621958364
       23       0.46924937469863E-15    52.4627936097202
       24       0.47014678068423E-15    52.4720749669592
       25       0.46888203189429E-15    52.4796792873347
       26       0.47008933208128E-15    52.4859114504263
       27       0.47033491831800E-15    52.4910206572280
       28       0.47056314322147E-15    52.4952106205679
       29       0.47023836255033E-15    52.4986478935712
       30       0.47029258833249E-15    52.5014686735241
       31       0.47062293221441E-15    52.5037843587051
       32       0.47052484466672E-15    52.5056860859139
       33       0.47027812149693E-15    52.5072484353760
       34       0.47046779554186E-15    52.5085324557539
       35       0.47117090176728E-15    52.5095881341470
       36       0.47023737650167E-15    52.5104564131321
       37       0.47108930653273E-15    52.5111708380567
       38       0.47074675394092E-15    52.5117589027050
       39       0.47108256769979E-15    52.5122431487008
       40       0.47041642946451E-15    52.5126420639633
       41       0.47137279101680E-15    52.5129708171063
       42       0.47121716467919E-15    52.5132418579083
       43       0.47037109133421E-15    52.5134654084171
       44       0.47063875396899E-15    52.5136498646919
       45       0.47103871107536E-15    52.5138021256279
       46       0.47106378216770E-15    52.5139278620647
       47       0.47080269296375E-15    52.5140317372136
       48       0.47174958357598E-15    52.5141175871764
       49       0.47136363816643E-15    52.5141885688984
       50       0.47026844121621E-15    52.5142472814329
       51       0.47062949015446E-15    52.5142958653809
       52       0.47047026482029E-15    52.5143360844592
       53       0.47086292274785E-15    52.5143693924528
       54       0.47014523031833E-15    52.5143969881436
       55       0.47075094804852E-15    52.5144198604485
       56       0.47067334003298E-15    52.5144388254940
       57       0.46955698068758E-15    52.5144545570701
       58       0.47068635144792E-15    52.5144676116900
       59       0.46980100689237E-15    52.5144784491828
       60       0.47016434871511E-15    52.5144874496510
       61       0.46878758787210E-15    52.5144949274218
       62       0.46937194837875E-15    52.5145011425255
       63       0.46971284675142E-15    52.5145063101708
       64       0.46892557266147E-15    52.5145106085462
       65       0.46851861633906E-15    52.5145141852309
       66       0.46960201822564E-15    52.5145171625221
       67       0.46882207886608E-15    52.5145196417975
       68       0.46827246295624E-15    52.5145217071272
       69       0.46847715845322E-15    52.5145234282542
       70       0.46815818735654E-15    52.5145248630678
       71       0.46798553566231E-15    52.5145260596175
       72       0.46847674938780E-15    52.5145270578329
       73       0.46807660182848E-15    52.5145278908760
       74       0.46805170016174E-15    52.5145285863227
       75       0.46870261872633E-15    52.5145291670951
       76       0.46785602672083E-15    52.5145296522710
       77       0.46806372088778E-15    52.5145300577151
       78       0.46801080607372E-15    52.5145303966482
       79       0.46802042959256E-15    52.5145306800684
       80       0.46778272626346E-15    52.5145309171458
       81       0.46784908599939E-15    52.5145311155226
       82       0.46776030485589E-15    52.5145312815662
       83       0.46799256246863E-15    52.5145314205852
       84       0.46829883602441E-15    52.5145315370202
       85       0.46785577502781E-15    52.5145316345647
       86       0.46800359180005E-15    52.5145317163114
       87       0.46825234749493E-15    52.5145317848339
       88       0.46779540346062E-15    52.5145318422916
       89       0.46769568737218E-15    52.5145318904800
       90       0.46788214160176E-15    52.5145319309099
       91       0.46759298472458E-15    52.5145319648378
       92       0.46768740803757E-15    52.5145319933174
       93       0.46838660117151E-15    52.5145320172288
       94       0.46782239685057E-15    52.5145320373133
       95       0.46783551881635E-15    52.5145320541818
       96       0.46769030611835E-15    52.5145320683577
       97       0.46744594954756E-15    52.5145320802708
       98       0.46746637665952E-15    52.5145320902907
       99       0.46814485026301E-15    52.5145320987079
      100       0.46797486424014E-15    52.5145321057930
 Benchmark completed 
 VERIFICATION SUCCESSFUL 
 Zeta is     0.5251453210579E+02
 Error is    0.1853665088418E-13


 CG Benchmark Completed.
 Class           =                        D
 Size            =                  1500000
 Iterations      =                      100
 Time in seconds =                    38.53
 Total processes =                      256
 Compiled procs  =                      256
 Mop/s total     =                 94554.30
 Mop/s/process   =                   369.35
 Operation type  =           floating point
 Verification    =               SUCCESSFUL
 Version         =                      3.3
 Compile date    =              19 Mar 2012

 Compile options:
    MPIF77       = mpif77
    FLINK        = $(MPIF77)
    FMPI_LIB     = (none)
    FMPI_INC     = (none)
    FFLAGS       = -O3
    FLINKFLAGS   = -O3
    RAND         = randi8


 Please send the results of this run to:

 NPB Development Team 
 Internet: npb@nas.nasa.gov
 
 If email is not available, send this to:

 MS T27A-1
 NASA Ames Research Center
 Moffett Field, CA  94035-1000

 Fax: 650-604-3957


