ts_0 elapsed_0 pkg_0 pp0_0 dram_0 ts_1 elapsed_1 pkg_1 pp0_1 dram_1 
1335562134.497990 0.010131 21.643604 8.472183 3.766921 1335562134.498052 0.010169 28.017631 13.674201 3.329645 
1335562134.507998 0.010008 17.466327 4.154656 3.448746 1335562134.508049 0.009997 25.645791 12.407727 2.457429 
1335562134.518004 0.010006 16.850934 3.527259 3.873427 1335562134.518060 0.010011 25.234800 12.012289 2.728334 
1335562134.527990 0.009986 17.259097 3.914812 2.863528 1335562134.528035 0.009975 22.817152 10.873177 2.124767 
1335562134.537989 0.009999 15.840149 3.833377 1.944157 1335562134.538044 0.010009 25.305162 12.074033 1.939163 
1335562134.547996 0.010007 17.469932 4.153626 1.761174 1335562134.548064 0.010020 25.213506 12.001428 1.598972 
1335562134.557997 0.010001 17.368966 4.030991 2.709705 1335562134.558047 0.009983 25.317539 12.065724 1.601834 
1335562134.568004 0.010007 17.157343 3.837987 2.049366 1335562134.568062 0.010015 25.236776 12.008951 1.599771 
1335562134.578004 0.010000 17.181413 3.845219 1.612856 1335562134.578064 0.010002 25.217992 11.997235 1.600343 
1335562134.587997 0.009993 16.883333 3.533330 1.613971 1335562134.588055 0.009991 25.320511 12.063859 1.602100 
1335562134.597997 0.010000 16.847245 3.523258 1.615907 1335562134.598052 0.009997 25.273360 12.049034 1.601145 
1335562134.607997 0.010000 17.169206 3.842167 1.599123 1335562134.608052 0.010000 25.250268 12.016308 1.281740 
1335562134.617989 0.009992 16.902145 3.561240 1.922642 1335562134.618045 0.009993 25.359355 12.097915 1.604810 
1335562134.628004 0.010015 16.832643 3.527115 2.157406 1335562134.628060 0.010015 25.220016 11.999810 1.601295 
1335562134.637990 0.009986 16.881673 3.505300 1.615127 1335562134.638037 0.009977 25.302077 12.040815 1.605850 
1335562134.648004 0.010014 17.103947 3.812390 1.609066 1335562134.648068 0.010031 25.164642 11.963967 1.597224 
1335562134.657997 0.009993 16.883333 3.539438 1.613971 1335562134.658054 0.009986 25.307229 12.042403 1.602903 
1335562134.667989 0.009992 16.842588 3.487938 1.603474 1335562134.668050 0.009996 25.306302 12.062396 1.602824 
1335562134.677990 0.010001 16.845639 3.525973 1.809522 1335562134.678047 0.009997 25.308466 12.064298 1.598092 
1335562134.688004 0.010014 16.837293 3.525927 2.264273 1335562134.688060 0.010013 25.227868 12.002095 1.598552 
1335562134.698024 0.010020 17.482095 4.177124 1.594404 1335562134.698076 0.010016 25.254178 12.041323 1.595049 
1335562134.708004 0.009980 17.202131 3.845290 1.616092 1335562134.708060 0.009984 25.289139 12.032477 1.601681 
1335562134.717997 0.009993 16.900129 3.560815 1.613971 1335562134.718052 0.009992 25.336419 12.067289 1.600420 
1335562134.727997 0.010000 16.844193 3.518680 1.449586 1335562134.728052 0.010000 22.718833 10.815440 1.440431 
1335562134.737997 0.010000 15.165725 3.173831 1.596071 1335562134.738058 0.010006 25.261151 12.019825 1.599695 
1335562134.748004 0.010007 16.832555 3.517774 2.256743 1335562134.748059 0.010001 25.296684 12.053305 1.600496 
1335562134.758004 0.010000 16.864030 3.535465 2.322390 1335562134.758064 0.010005 25.278810 12.048422 1.599847 
1335562134.768004 0.010000 16.850297 3.527835 1.770021 1335562134.768059 0.009995 25.310243 12.060493 1.601450 
1335562134.777997 0.009993 16.865009 3.528749 1.617025 1335562134.778053 0.009994 25.280595 12.034162 1.601603 
1335562134.787997 0.010000 17.175309 3.839115 1.609804 1335562134.788056 0.010003 25.256173 12.020212 1.600153 
